help, 2023/05/19 16:50:57
exit, 2023/05/19 16:51:00
createcustomer, 2023/05/19 16:52:27
createCustomer, 2023/05/19 16:53:43
readCustomers, 2023/05/19 16:53:51
getCustomer, 2023/05/19 16:54:16
, 2023/05/19 16:54:16
getCustomer 0, 2023/05/19 16:54:35
readCustomers, 2023/05/19 16:54:49
readCards, 2023/05/19 16:54:52
help, 2023/05/19 17:07:24
readCustomer, 2023/05/19 17:07:29
read, 2023/05/19 17:07:33
readCustomers, 2023/05/19 17:07:36
de, 2023/05/19 17:08:13
help, 2023/05/19 17:08:14
deleteCustomer, 2023/05/19 17:08:21
, 2023/05/19 17:08:21
readCustomers, 2023/05/19 17:08:41
readCustomers, 2023/05/20 18:15:05
readCustomers, 2023/05/20 18:15:13
getCustomer, 2023/05/20 18:15:19
, 2023/05/20 18:15:19
, 2023/05/20 18:15:36
deleteCustomer, 2023/05/20 18:15:52
-, 2023/05/20 18:15:52
deleteCustomer 0, 2023/05/20 18:15:58
deleteCustomer, 2023/05/20 18:16:03
, 2023/05/20 18:16:03
help, 2023/05/20 18:16:09
exit, 2023/05/20 18:16:14
help, 2023/05/20 19:43:21
createCustomer, 2023/05/20 19:43:52
readCustomers, 2023/05/20 19:51:47
getCustomer, 2023/05/20 19:51:51
, 2023/05/20 19:51:51
createCustomer, 2023/05/20 19:52:32
getCustomer, 2023/05/20 19:52:37
, 2023/05/20 19:52:37
readCustomers, 2023/05/20 19:52:42
getCustomer, 20-05-2023 19:55:13
, 20-05-2023 19:55:13
help, 20-05-2023 19:55:25
createAccount, 20-05-2023 19:56:00
0, 20-05-2023 19:56:00
getAccount, 20-05-2023 19:56:17
, 20-05-2023 19:56:17
getAccount, 20-05-2023 19:56:23
, 20-05-2023 19:56:23
createAccount, 20-05-2023 19:57:44
getAccount, 20-05-2023 19:58:33
, 20-05-2023 19:58:33
getAccount, 20-05-2023 19:58:36
, 20-05-2023 19:58:36
createAccount, 20-05-2023 19:59:40
createAccount, 20-05-2023 20:02:34
readAccounts, 20-05-2023 20:02:41
getAccounts, 20-05-2023 20:05:00
readAccounts, 20-05-2023 20:05:06
readCustomres, 20-05-2023 20:05:13
readCustomers, 20-05-2023 20:05:15
readAccounts, 20-05-2023 20:05:18
createAccount, 20-05-2023 20:05:38
createAccount, 20-05-2023 20:08:38
readAccounts, 20-05-2023 20:08:41
getBalance, 20-05-2023 20:08:48
, 20-05-2023 20:08:48
getBalance, 20-05-2023 20:08:52
, 20-05-2023 20:08:52
readAccounts, 20-05-2023 20:12:01
getAccount, 20-05-2023 20:12:06
, 20-05-2023 20:12:06
getAccount, 20-05-2023 20:12:10
, 20-05-2023 20:12:10
getBalance, 20-05-2023 20:12:16
, 20-05-2023 20:12:16
readCustomers, 20-05-2023 20:28:19
createCustomer, 20-05-2023 20:28:52
readAccounts, 20-05-2023 20:29:00
readCustomers, 20-05-2023 20:29:04
getCustomer, 20-05-2023 20:29:08
, 20-05-2023 20:29:08
readCustomers, 2023-05-20 20:35:01
createCustomer, 2023-05-20 20:35:39
readCustomers, 2023-05-20 20:35:43
getCustomer, 2023-05-20 20:35:47
, 2023-05-20 20:35:47
getCustomer, 2023-05-20 20:36:56
, 2023-05-20 20:36:56
help, 2023-05-24 14:20:32
createCustomer, 2023-05-24 14:21:11
readCustomers, 2023-05-24 14:21:18
getCustomer 1, 2023-05-24 14:21:21
getCustomer 0, 2023-05-24 14:21:26
getCustomer 1, 2023-05-24 14:21:30
createAccount, 2023-05-24 14:22:14
readAccounts, 2023-05-24 14:22:18
readCustomers, 2023-05-24 14:22:24
help, 2023-05-24 14:23:26
deposit, 2023-05-24 14:23:44
, 2023-05-24 14:23:44
readCustomers, 2023-05-24 14:23:48
readAccounts, 2023-05-24 14:23:58
withdraw, 2023-05-24 14:24:10
withdraw 1 100, 2023-05-24 14:24:10
withdraw, 2023-05-24 14:24:16
, 2023-05-24 14:24:16
readAccounts, 2023-05-24 14:24:20
updateAccount, 2023-05-24 14:25:05
